[META] data_path=/anndata/ test_number=2000 base_number=100000 vecdim=96 k=10 threads=8 local_p=20 schedule=static
[BUILD] nlist=1024 build_time_ms=33760.929
method,config,recall,latency_us,avg_nprobe,avg_candidates,select_us,collect_us,search_us,merge_us
Fixed-IVF,nprobe=5,0.793400,136.838,5.000,1321.742,46.788,3.415,79.984,3.004
Fixed-IVF,nprobe=10,0.884600,138.655,10.000,2255.689,48.086,5.954,78.029,2.998
Fixed-IVF,nprobe=20,0.944600,199.252,20.000,3814.922,50.927,10.209,131.590,3.061
Fixed-IVF,nprobe=50,0.983500,327.835,50.000,7691.923,54.556,19.964,246.297,3.470
Fixed-IVF,nprobe=100,0.995350,549.642,100.000,13304.888,63.844,35.459,442.308,4.028
Adaptive-IVF,min=5_max=100_tau=0.015_cov=0.8,0.795350,119.349,5.047,1327.228,53.344,3.426,55.700,3.200
Adaptive-IVF,min=5_max=100_tau=0.015_cov=0.9,0.804600,119.609,5.261,1355.812,52.854,3.463,56.550,3.045
Adaptive-IVF,min=5_max=100_tau=0.015_cov=0.95,0.819500,122.515,5.732,1420.619,53.149,3.678,58.934,3.105
Adaptive-IVF,min=5_max=100_tau=0.03_cov=0.8,0.861800,131.882,7.503,1664.052,53.349,4.391,67.350,3.113
Adaptive-IVF,min=5_max=100_tau=0.03_cov=0.9,0.915900,148.240,11.478,2221.970,54.566,5.914,81.482,2.950
Adaptive-IVF,min=5_max=100_tau=0.03_cov=0.95,0.954000,209.863,17.239,3027.861,56.321,8.143,138.681,3.102
Adaptive-IVF,min=5_max=100_tau=0.06_cov=0.8,0.980250,323.140,27.545,4538.215,58.178,12.579,245.685,3.062
Adaptive-IVF,min=5_max=100_tau=0.06_cov=0.9,0.990650,291.865,44.581,6760.922,59.724,17.700,207.572,3.145
Adaptive-IVF,min=5_max=100_tau=0.06_cov=0.95,0.992850,379.181,60.635,8757.108,62.874,22.996,286.295,3.391
